movie,director,music,cast,plot_excerpt
Anbu Karangal,[[K. Shankar]],[[R. Sudarsanam]],[[Sivaji Ganesan]]<br />[[Devika]]<br />[[K. Balaji]]<br /> [[Manimala (actress)|Manimala]],{{No plot|date=July 2021}}
1966,Error,Error,Error,Error
Edhir Paradhathu,[[Chitrapu Narayana Rao|Ch. Narayanamoorthy]],[[C. N. Pandurangan]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],"Dhayaparar is a widower whose only son Sundar studies in a college at Tiruchy. Sundar is a tenant in a house in which Sumathi lives with her father. They both start liking each other and Sumathi's father agrees to their marriage. Sumathi's elder brother Doctor Gopu lives in Bangalore and is addicted to racing. Using this situation, his friend Moorthy tries to befriend Gopu's wife Nalina but she rejects his advances. Kandaswamy, working with Doctor Gopu, notices the happenings in the family and feels bad. Gopu, in order to settle a loan, borrows money from Moorthy after signing a mortgage letter. Kandaswamy takes some money from that to clear all family dues and Gopu dismisses him for that. Moorthy comes home when Nalina is alone and tries to molest her, but Kandaswamy saves her. Gopu arrives there realises his mistake and unites with Nalini and takes Kandaswamy back in job. After the exams, Sundar leaves to Chennai to get his father's concurrence to marry Sumathi. After a few weeks, he writes to Sumathi's that he will be coming in a week to finalise the marriage.

Meanwhile, Sundar gets a letter from the Government providing him a two years scholarship for higher studies in America as a reward for securing the highest marks in the state. Since it's a rare opportunity, his father consents. Sundar meets Sumathi and her father and takes their consent too and travels to America. Meanwhile, Gopu is harassed by the lenders. Unable to pay back, Gopu leaves home after writing a note to Nalina. Moorthy takes possessions of Gopu's house in lieu of his dues. Nalina comes to stay with in their limited money to settle Gopu's loans. Meanwhile, the flight in which Sundar travelled crashes and newspaper reports that everyone on board died. Sumathi and her father are shocked. Dayaparar sells off his property and moves from [[Chennai]] to [[Tiruchy]] as he is unable to stay there anymore. However, Sundar survives the crash and only loses his eyesight. He is given the medical attention by a tribal family in a forest area.

Dayaparar's friend advises him to remarry to get over his sorrows as he is alone after the death of his son, to take care of his health. He meets Sumathi's father and seeks her hand for Dayaparar and mentions that all his property will be left for Sumathi after he dies as he is alone. Sumathi agrees to the marriage to support her family and settle Gopu's loans, though both her father and Nalina do not accept her plan. On the wedding day, Sumathi's father passes away, unable to see his daughter marrying an old man. That night, Dayaparar realises that his son Sundar and Sumathi were lovers earlier. Brokenhearted, he leaves home writing a letter to Sumathi in which he leaves all his wealth to her and gives her the freedom to choose a life of her own (to remarry). Dayaparar wanders around visiting temples and holy places and in one of the temples he sees Sundar begging&nbsp;– being blind he did not want to be burden to his father and hence was living alone. Father and Son rejoin. Gopu returns to Sumathi's house as a reformed man and starts his medical practice again. He dreams of his Sister remarrying, but Sumathi still thinks of Dayaparar as her husband.

Sundar requests his father to take him to Sumathi's house in Tiruchy. Dayaparar takes him to Tiruchy and sends him to her house alone and stays back to avoid confusion. Sundar meets and proposes to Sumathi and she informs that she is already married and agrees to be just his friend. They meet often and Sundar suggests remarrying as her husband has moved away. But Sumathi rejects saying she is still the wife of a man living somewhere. Sundar informs this to his father. Dayaparar feels guilty and in order to unite them sends a false letter to her starting that Dayaparar had died in an accident. Now, Sumathi starts living like a widow. On a rainy night, Sundar meets Sumathi at her home, holds her hand and tries to get her consent to marry him, now that her husband has died.

Sumathi gets angry and slaps him for trying to take advantage of her situation and makes it clear that in her life there is place only for Dayaparar. Sundar is shocked at her rejection. Gopu learns about Sundar's situation and operates on Sundar's eyes and he gets back in eyesight. Gopu takes Sundar to his house to unite him with Sumathi. Reaching there, Sundar is shocked to see the portrait of his father with a garland and realises that Sumathi has actually married his father and is now his stepmother. He feels guilty and rushes to apologise to his father, but it was too late as Dayaparar has died. Sumathi and her family are shocked to learn that Sundar's father was Dayaparar. Dayaparar had left a letter to Sumathi in which he apologises for marrying her and asks Sumathi to live on her own terms. Sumathi reconciles herself to live as a mother to Sundar than remarrying and he also appreciates that and calls her as his mother. Sundar goes abroad to continue his studies with his stepmother's blessings."
Rani Lalithangi,[[T. R. Raghunath]],[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[P. Bhanumathi]],{{No plot|date=October 2021}}
Anjal Petti 520,[[T. N. Balu]],[[R. Govardhanam]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]],"{{more plot|date=July 2022}}
Prabhu is the Chennai Manager in a baby food company whose head office at Madurai. He is a very talented Manager and his MD assures him of a promotion to the General Manager position. Suddenly Prabhu gets information that his MD is not giving a promotion. Prabhu becomes angry and tends his resignation abusing his company MD. He drops the letter in Post box 520 (Anjalpetti 520). On the next day, Prabhu receives a telegram on his promotion. Prabhu realises his mistake and willing to take back the letter he posted to Post box 520. There starts the story of him chasing the letter and he getting messed up with conspiracy by villains and finally coming out of all his problems."
Gnana Oli,[[P. Madhavan]],[[M. S. Viswanathan]],"[[Sivaji Ganesan]]<br />[[Vijaya Nirmala]]<br />[[Sharada (actress)|Saratha]]<br />[[Srikanth (actor, born 1940)|Srikanth]]","Anthony an orphan, warm-hearted, yet physically effervescent is a wooden casket maker by profession. He is a regular church bell ringer raised by the guidance of the kind church Father. He marries. The day his lady goes into labour, he agrees to fabricate a wooden coffin for a supposedly dying person for his plausible money needs. Whilst fabricating he is notified that, that person who seemed dying miraculously survived, leaving his half-done coffin to no use, much to his irritation. However, the Father arrives and informs Anthony that a daughter was born, but also clarifies his half-done coffin was not merely a waste since his wife did not survive the labour. Shadowed with sadness, he raises his daughter, (Named Marie, after Mother Mary) baptised by the father of the church he goes to. Life moves on.

Years later, his teen-aged daughter, (Marie) sent to the city for pursuing her education, comes home on holiday. The eldest Father blesses both Marie and Anthony and expresses his desire for Marie to reach the pinnacle of her career (that she was doing well) and must be capable of building trust organisations, education systems and hospitals for the well-being of the needy. Anthony desires that his daughter fulfill father's wishes that he even refuses to get her married to someone in near future. Later, Lawrence, a police officer, and Anthony's long-lost childhood friend are introduced to Anthony by the elder Father. A mutual and solid friendship bonds between the two.

Curious about his friends' daughters' intelligence traits, Lawrence expresses his interest to meet Marie, which Anthony accedes to. Lawrence and Anthony arrive at Anthony's home and both get shocked seeing Anthony's daughter in a prurient position with an unknown male, infuriating Anthony as he always considered her his divine gift from God, and lunges to kill her and her lover. Lawrence confronts Anthony's rage and stops him and gets his daughter to exchange rings as an informal marriage to her male lover in the very place they were caught and makes Anthony swear not to make any worse of the situation in the name of the Lord. Anthony, controlled by Lawrence's deed, informs this quagmire to the Father at the church the next day. The Father, seeking to correct things, makes Anthony arrange formally the marriage between the two. Anthony seeks the male friend who his daughter was caught with.

Tracing the boy as a different religion, Anthony meets a Hindu doctor who the boy claimed to be his father, but is devastated to found out he was a profuse liar. However, finding him, Anthony persuades him gently and pleads him to marry his daughter. But knowing his real playboy attitude, and his atrocity in refusing to marry Marie anguishes Anthony, who forcibly brings the boy to the church in order to do his wedding with his daughter. But things go horribly when he brought the boy to the church. He had accidentally killed the boy in the scuffle even though he didn't wish to. Lawrence arrives and arrests Anthony in front of the Father, who had no chances of helping his beloved son. Lawrence had to value his police job overseeing his friend's agony and loyalty to the eldest Father and the church and yet having him arrested. Anthony is sentenced.

A few days later, Anthony, behind bars, learns that his daughter also disappeared, much to his pain. At the church, the aged Father tells Lawrence his last wish to see Anthony and requests his temporary bail, since he had become too old to visit prisons. Abiding by the Father's request, Lawrence agrees to take care of Anthony after his sentence, but until which he will sincerely adhere to his police duty. Attributing his short temper and roguish nature whenever he gets anguished was that which lead him to being guilty despite being innocent by heart, the father gives Anthony a holy candlestick and makes Anthony promise him such that he should become a person of grown wisdom and requests him to act with purity. Having lost all the loved ones, except Lawrence, who had to serve justice, makes Anthony grieve.  Until Anthony serves his sentence, Lawrence would only treat him as a vigilante and despise him. Remembering the Father's desire to build a good community of hospitals and educational institutions for the needy, and knowing it was not possible without his daughter, he decides to do so himself, while both condole the eldest father's loss.

After 2 decades, Anthony returns a mature and disciplined as Mr. Arun, a millionaire, changed not to escape Lawrence or the law for the murder he had accidentally committed, but for the solemn promise he made to the late Father that raised him for serving the needs of poor that he himself wanted Marie to do as Anthony. Once he finishes serving the good deeds as per his father's wish, he would eventually turn himself to the law for his crime. He had fulfilled almost all promises to his church Father of serving mankind. He comes back to the church where he rang the bell during his initial days and meets other children in the orphanage he founded and is on the verge of turning himself in to the law for his crime. He gets shocked to see his own daughter Marie as a teacher in that same church, who he had assumed expired. Before he could confess to Marie that he was none other than her own father, he comes to notice Lawrence was still around. As a guardian of Marie and her family, Lawrence was always around them fulfilling his promise of supporting his friend Anthony's family should he be absent. Anthony's escape led the police department to suspect Lawrence since they were once best friends, and hence his promotion was denied. However, he stuck around Marie hoping to find Anthony and be true to his duty.

Eventually learning Marie has a daughter herself who was of marriageable age, he yearned to see them. Arun (Anthony), during his rise to fame was deprived of a family by the loss of his loved ones, especially the church Father and his daughter Marie. Having known not all his loved ones are dead, he considers his granddaughter's well-being his last duty. Meanwhile, unaware that Mr. Arun was none but her own dad, Anthony, she kept away from him. Marie had lived with the same good Hindu doctor, the one whom she had a relationship with had claimed to be his father. They eventually meet, where Arun exposes his real identity to Marie as she relates that her father was back in an emotional confluence. Lawrence, meanwhile, learns of Arun as a new wealthy icon in town and greets Arun, who out of compulsion meet each other. Lawrence, familiar with Anthony's face and body language is suspicious about Arun's activity being similar to Anthony's, but he discreetly hesitates as Arun (Anthony) was a social figure and could not be approached easily, let alone be apprehended.

Arun arrives to know that Marie's daughter (his own granddaughter) falls in love similar to what Marie did when she was in her age. Having known it was Lawrence's son she was in love with, he does not object, in the name of philanthropy."
Deivapiravi (1960 film),[[Krishnan–Panju]],[[R. Sudarsanam]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]]<br />[[S. S. Rajendran]],"Madhavan is a successful businessman and a respected figure in society. He has a brother, Manohar, who is irresponsible and lazy. Madhavan marries Thangam, and her brother, Ramu, comes to live with them, where he is educated with Madhavan's help. Unlike Manohar, Ramu works hard and earns Madhavan's respect. Both Ramu and Manohar fall in love with Thilagam, but Thilagam prefers Ramu. Perceiving this as a betrayal, Thangam convinces Ramu to give up his love for Thilagam and let Manohar marry her.

Unknown to the rest of them, Nandhini is Madhavan's stepsister. He decides to help her by asking her to live with them. She starts to manipulate the household by raking in controversies between Ramu and Manohar, Madhavan and Thangam by insinuating an affair between her and Nair while making it look like she is having an affair with Madhavan subtly there by aiming to take over the family's wealth.

Ultimately, Ramu forces a frank conversation by all regarding their individual relationships. Madhavan confesses that Nandhini is his sister while Thangam says that she and Nair too treated each other as siblings. Ramu make it clear to Manohar that he will not marry Thilagam. Seeing her plot break open, Nandhini runs away with family gold only to be caught by Nair and Manohar. Thangam, however, decides to give off the family jewels to her so that she can marry and have a normal life."
Enga Oor Raja,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[Sowcar Janaki]]<br />[[M. N. Nambiar]],{{No plot|date=July 2021}}
Moondru Deivangal,Dada Mirasi,[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[R. Muthuraman]]<br />[[Nagesh]],"{{more plot|date=March 2021}}
Three thieves get into a family's home and act as if they are good people. However, the family's humility causes a change of the thieves' heart and whether they reform or not forms the rest of the story."
Pennin Perumai,[[P. Pullayya]],'''Songs:'''<br />[[B. N. Rao]]<br />A. Rama Rao<br />'''Score:'''<br />[[Master Venu]],[[Sivaji Ganesan]]<br />[[Gemini Ganesan]]<br />[[Savitri (actress)|Savitri]]<br />[[Santha Kumari]],"{{more plot|date=December 2021}}
Padma is forced to marry a mentally dull  man Raghu, whom she eventually makes a normal human while teaching a lesson to her scheming mother-in-law and brother-in-law Nagu."
1972,Error,Error,Error,Error
1974,Error,Error,Error,Error
1958,Error,Error,Error,Error
Pillalu Techina Challani Rajyam,[[B. R. Panthulu]],[[T. G. Lingappa]],[[B. R. Panthulu]]<br />[[M. V. Rajamma]],"{{more plot|date=July 2022}}
A scientist takes children to an unknown planet, where they establish a democratic republic.<ref>{{Cite book |title=Routledge Handbook of Indian Cinemas |publisher=[[Routledge]] |year=2013 |isbn=978-1-136-77291-7 |editor-last=Gokulsing |editor-first=K. Moti |pages=290 |editor-last2=Dissanayake |editor-first2=Wimal}}</ref>"
Naam Pirandha Mann,[[A. Vincent]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Gemini Ganesan]]<br />[[Nagesh]]<br />[[Kamal Haasan]]<br />[[K. R. Vijaya]],"{{More plot|date=October 2023}}
During the [[British Raj]], Vettaikara Thevar is a rich landlord who lives with his wife Devanayaki and younger sister Valliyammai. He is in the good books of the people and the British. Unknown to his family, he is also Santhana Thevar, the masked vigilante leader of a group that terrorises the British colonisers in town and helps the locals.

Joseph, a former soldier, joins Santhanam's group and also works for Vettaikaran's, unaware that both are the same man. Santhanam is hurt during a mission and Joseph rescues him sacrificing himself and is presumed dead. Eventually, the British learn his secret identity and Valliyammai is raped publicly and murdered in an attempt to draw out Santhanam. He comes out in rage, murders the perpetuators and bound by a promise he made to Devanayaki, he surrenders. He escapes his death sentence at the last moment and is freed as India [[Indian Independence Act 1947|gains independence]]. He, however, has already been financially ruined.

Years later, the Santhanam family is now reduced to penury and Santhanam's son Ranjith is a bitter young man. He resents the fact that his father's sacrifices have resulted in only misery for the family and that the country is ungrateful to freedom fighters. He also hates the fact that even in poverty, his father refuses pension on account of self-respect. The two clash due to their contrasting world views. Ranjith, at one time, has had enough and takes to crime. In the end, Santhanam finds out that his own son is betraying the country he fought so hard to free and takes his gun again as Vettaikaran. Does the father get killed or does the son?"
Sorgam,[[T. R. Ramanna]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Rajasree]]<br />[[R. Muthuraman]]<br />[[K. Balaji]],"{{more plot|date=February 2023}}
Three graduates, Kannan, Sampath and Shankar have different values and experience completely different things in life. Shankar wants to get rich with that being his only motivation while Kannan stays honest. Sampath however is a crook and has no qualms about ruining anyone to get what he wants. Shankar still has goodness in him which attracts Vimala as they get married.

However, once Shankar starts to work and grow rich, she sees the goodness in him slowly erode. The other two also work with him but situations put them at loggerheads. In the end, Shankar relents to see that he has lost himself in his quest to become rich, changes his mind and helps the cops catch the culprits with help from Kannan and reformed Sampath."
Aalayamani,[[K. Shankar]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[B. Saroja Devi]]<br />[[S. S. Rajendran]]<br />[[C. R. Vijayakumari]],"Thyagarajan ""Thyagu"" is a lonely rich bachelor, subjected to a deep-seated trauma from having witnessed the death of a childhood playmate, caused by his possessiveness. This is recurring theme in Thyagarajan's life, leading to disastrous results.

The movie begins with an imposing bell being rung, a voice narrates the story of a poor man, Arumugam Pillai, who was about to commit suicide on the death rock, but was stopped by the sound of the divine bell from the temple. He decides to take another chance with his life and soon he becomes a rich man and his son is none other than Thyagu, our hero!

Thyagarajan meets and becomes close friends with a virtuous man Sekhar and there is a well grown sense of mutual admiration and fondness amongst the friends. Sekhar and Meena are in love and Sekar promises he will ask her hand in marriage. Unbeknownst to both of them, Thyagu comes across Meena, whose father Muthaiah Pillai works in Thyagu's estate and impressed by her vivacity, Thyagu falls head over heels for her. This has all the makings of a typical love triangle.

Meena has a sister, Pushpalatha, who falls in love with the villain Aatkondan Pillai's son who demands a large amount in dowry. Muthaiah Pillai is unable to rustle up the requisite cash and is now in the doldrums concerned about the fate of his elder daughter's marriage. Thyagu comes helping with the cash and they are wedded. Shortly thereafter, Thyagu proposes to marry Meena and sends Sekhar as his messenger.

Except Sekhar and Meena, to their obvious shock and despair, it looks to the rest of the relatives that Thyagu and Meena are a pair made for each other. Sekhar, realising the extent of love and the depth of feelings of Thyagu asks Meena to forgo their feelings and that she should go ahead and marry Thyagu. The family members of both the families get together and agree to the arrangement. By this time, Thyagu, injured in a serious accident loses the use of both his legs and ends up being a cripple for life. The loyal partner Meena pitches into the effort to care for Thyagu and spends all her time caring for him.

Sekhar can't forget Meena and tries to be close with her, while she honours her commitment to Thyagu and keeps Sekhar at a distance. Thinking Sekhar as a single, Prema, daughter of the Aatkondan Pillai, expresses her feelings for Sekhar and he fails to respond in kind.

All these pent up emotions of love, friendship, loyalty, jealousy and physical debilitation boils over at one point and things take a turn for the worse for all three. Goaded by the feelings of inadequacy, Thyagu builds in his mind a picture, that his dear friend Sekhar is out to get his love, and decides to take matters into his hands and get rid of Sekhar. The lingering doubts about his friend and lover is now fuelled by his restive passions which are burning brightly.

Thyagu plans that the appropriate location for revenge is the Death rock known for its enchanting scenery and dangerous cliffs, where once his father attempted suicide. He was to drive Sekhar to the edge and push him to death from the face of the cliff. Thyagu leads Sekhar to the cliff and reveals his anger and frustration about their perceived relationship, questioning the sincerity of his friend and his lover. A visibly angered Sekhar repulses by revealing the magnitude of his sacrifice he made for his close friend and to prove his innocence, Sekhar swears to take his own life from the same Death rock. Truth dawns on Thyagu, now deeply humiliated, jumps from the cliff to the tumultuous sea below.

While Sekhar and Meena are mourning for their loss, Thyagu gets rescued by a fisherman and the shock of falling from the cliff has given back Thyagu the partial use of his legs. Meena now deems her as a widow and convinces Sekhar to marry the girl who loves him. On the wedding day, Thyagu, now dressed as a nobody shows up for the wedding and happens to overhear a conversation of Meena declaring that there is no life and happiness left due to Thyagu's death. This convinces Thyagu to reveal his identity and console Saroja, while Aatkondan Pillai with an eye on Thyagu's money thinks otherwise. Thyagu is hit on the head and falls unconscious, the marriage completes and Meena decides to take her life from the same cliff Thyagu plunged to death and seen running towards the cliff. Conscious now, Thyagu goes after Meena to stop her from committing suicide, calling out loud to stop and limping all the way behind her.

Meena sees Thyagu is alive and changes her mind and the lovers unite. In the background, the song ""Ponnai Virumbum Boomiyile"" (meaning: In a world of wealth lovers, the dear one who loved me) is being played, a happy Thyagu and Meena waves us a farewell, the movie ends."
Paavai Vilakku,K. Somu,[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[Sowcar Janaki]]<br />[[Pandari Bai]]<br />[[M. N. Rajam]]<br />[[Kumari Kamala]],"{{more plot|date=January 2022}}
Thanikachalam and Gowri are a married couple, and they have a daughter named Kalyani. Sengamalam is a dancer to whom Thanikachalam is attracted, but they do not marry since he already has a wife. Devaki, a widow, is also attracted to him, but later starts to treat him as a brother. Uma, a friend of Gowri, stays with the couple and raises their child as her own. She too falls in love with Thanikachalam, but is not able to marry him. An accident at Thanikachalam's house results in the death of Kalyani; Uma is not informed of her death. She later gets into a similar accident and upon learning about the child's death, she dies in the arms of Gowri and Thanikachalam."
Aandavan Kattalai (1964 film),[[K. Shankar]],[[Viswanathan–Ramamoorthy]],[[Sivaji Ganesan]]<br />[[Devika]],"Professor Krishnan is a role model; honest and austere, he is a staunch follower of [[Swami Vivekananda]]. His principle in life is ""Duty First"". He is a perfectionist to the extent where people correct their clocks based on his schedule. He considers marriage as an hindrance and women as diversion. His only aim is to take care of his mother and get Gomathi, his niece married. He ""adopts"" Ramu, an orphan, as a brother and helps educate him. Gomathi and Ramu fall in love. Radha, a student, seduces Krishnan in a slow and steady manner and their affair turns out to cause his doom.

Radha is presumed dead in an accident and the blame falls on Krishnan which causes his mother to die and him go through a lengthy and scandalous trial. He is declared innocent as Radha's body is never found but the society which respected him has now shunned him. He attempts suicide but a dog he once rescued saves him dying in the process. He takes this as a message and decides to dedicate his new life, given by the dog, in service of others taking up the name of Moorthy.

Radha, meanwhile, has lost her memory and is in care of Sankar who intends to marry her. Gomathi too has become destitute. Moorthy joins work in Sankar's quarry, meets Gomathi, gets her married to Ramu while keeping away from Radha believing that she manipulated the whole situation to ruin him unaware of her amnesia. In the end, all confusions get cleared with Radha and Moorthy getting married."
Thangappathakkam,[[P. Madhavan]],[[M. S. Viswanathan]],"[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Srikanth (actor, born 1940)|Srikanth]]<br />[[Prameela]]","Choudhry is a strict and committed police officer. Though a loving husband and father, his top priority is his duty. While he upholds the principles of justice and honesty, his son Jagan proves contrary to this even at a young age. After his father berates him for skipping school and indulging in [[Gambling in India|gambling]], Jagan runs away from home. He lands in [[Mumbai|Bombay]], where he is caught by the police for a petty theft and sent to [[Youth detention center|juvenile prison]]. Though Choudhry's wife Lakshmi longs to meet their son, Choudhry prevents her as he feels it would hamper Jagan's reformation process.

Years later, Choudhry is promoted to [[Superintendent of police (India)|Superintendent of Police]]. Jagan, after his release, returns home. While affectionate towards his mother, he still dislikes his father. This hatred has been ingrained over the years since his father had ignored him for the sake of duty. Jagan falls in love with a woman named Vimala, marries and brings her home. Choudhry and Lakshmi accept her, hoping that all differences have been sorted out and they would now be able to enjoy domestic happiness. However, father and son are still at loggerheads.

Jagan, who befriended other criminals in prison, indulges in several illegal activities like theft, kidnapping and smuggling, and is wanted by the police. Choudhry tries his best to reform Jagan, but fails. His repeated attempts to reform him are misunderstood by Jagan, who decides to take revenge on his father for blocking his path to easy riches. In their fight, the family splits, and a depressed Lakshmi dies. Jagan does not come even for her cremation.

Jagan decides to sell sensitive military documents to a foreign country for a large sum. Choudhry learns of this, confronts him and persuades him to stop, but Jagan refuses and shoots Choudhry, who is forced to shoot back. Jagan dies in the arms of Choudhry, who survives, and is later rewarded with a [[gold medal]] for his valour."
Lorry Driver Rajakannu,[[A. C. Tirulokchandar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Sripriya]],"{{More plot|date=October 2022}}
Rajakannu, a lorry driver, lives with his blind sister, Meena, who is his only family. Known for his unwavering sense of justice, Rajakannu frequently goes out of his way to help others. He befriends fellow driver Ramu, earning a loyal and devoted companion. Meanwhile, Rajakannu falls in love with Kannamma, a short-tempered food stall owner, while Meena becomes engaged to Inspector Shankar. 

Trouble arises when Rajakannu is falsely implicated in a smuggling operation orchestrated by Jaganath and his son, Kamal. Determined to clear his name, Rajakannu teams up with Ramu, Kannamma, and his lorry cleaner, Periyathambi, to expose the true culprits and bring them to justice."
Arivaali,[[A. T. Krishnaswamy]],[[S. V. Venkatraman]],[[Sivaji Ganesan]]<br />[[P. Bhanumathi]],"Aalavanthan is a graduate who works hard for the poor farmers in his village and opposes the Zamindar Azhagu Singam's rule. Aalavanthan is aided by his close friend Muthuvel, a social activist-journalist. In turn, Muthu's father Nallamuthu Naicker is a land agent who supports the Zamindar. Muthuvel loves an uneducated village belle Thangalakshmi, marries her, and moves out as he does not like his father's bad deeds. There will be many occasions where her illiteracy is the highlight comedy of this movie.

Thandapani Pillai is a wealthy man who wishes to get his arrogant and spoiled daughter Manorama married and is willing to give away Rs. 1 lakhs and 60 acres of land to the groom who is willing to wed her. Aalavanthan learns regarding this from his friend Tom Kumar and wishes to marry her as the dowry could be able to help the poor farmers. Tom Kumar is in love with Manorama's younger sister India. Manorama has the habit of doing the opposite action of what Aalavanthan wishes or says. Aalavanthan uses this as an advantage to marry Manorama. Tom Kumar and India are married at the same time.

Aalavanthan starts his plan to tame Manorama by creating all kinds of discomforts to her. In turn, Manorama realises her mistakes, repents and becomes a good wife till to extent of becoming Aalavanthan's advisor. Aalavanthan meets with the Zamindar to discuss about the land issue, where Aalavanthan meets Mohini, who is his college mate and also Zamindar's fiancée. Upon Mohini's persuasion the Zamindar agrees, he and Aalavanthan become friends and arrange to start up a cooperative farm in their village. Upon learning this, Nallamuthu Naicker hatches a plan by making up story about Aalavanthan and Mohini's affair with the help of Thandapani Pillai's servant, Kandhasami. Manorama does not believe this, but the Zamindar does and injures Aalavanthan. The village people learn of this incident and assemble to attack the Zamindar. Muthuvel and Manorama learn the truth from Kandhasami about Nallamuthu Naicker's wicked plan and force Nallamuthu Naicker to confess and admit to the village people of his wrongdoings. The Zamindar apologises to Aalvanthan and donates his 1000 acres of the land to the villagers' aid.

All goes well and Alavanthan succeeds in starting a cooperative farm in their village. Aalavanthan and Manorama become a loving husband and wife."
Engirundho Vandhaal,[[A. C. Tirulokchandar]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]],"{{More plot|date=April 2024}}
Sekar has lost his mind being forced to witness the betrayal by his lover and his friend as they get married though the situation was manipulated by his friend Sukumar. She kills herself on the stage by setting herself afire, driving him insane.

The family property remains in his name and is enjoyed by the rest of the family who treat him badly but keep him alive so that they can enjoy it. When forced to get a nurse, they instead get Radha, a courtesan, and present her as a nurse. However, her tender love and affection slowly turns Sekar back into the road of sanity. Seeing that he is getting better, they venture to fire her. One thing leads to another and in the end, Sekar manages to save Radha from fire, thereby redeeming himself from his earlier failure to save his lover and getting sane again. They get married and forgive the relatives."
Uthama Puthiran (1958 film),[[T. Prakash Rao]],[[G. Ramanathan]],[[Sivaji Ganesan]]<br />[[Padmini (actress)|Padmini]],"The queen of Malarpuri delivers a male child. Her brother Naganathan replaces it with a dead child, and informs king Varaguna Pandiyan that the newborn is dead. To Naganathan's surprise, the queen gives birth to another boy soon after. Minister Gunaseelar arrives by then, and the king is informed of the birth of two children, one dead and one alive. Everyone is happy that at least one is alive. Naganathan decides to kill the first infant and hands it over to his servant Somappa. However, Somappa and his wife raise the prince in a forest.

The crown prince is Vikraman, and his identical twin in the forest is Parthiban. On his deathbed, the king appoints Naganathan as the guardian of crown prince Vikraman, and gives the order that Naganathan would be solely responsible for Vikraman's safety. To achieve his objective of ruling the country, Naganathan brings up Vikraman with all vices and does not allow him to bond with his mother. On the other hand, Parthiban grows up to become a valiant warrior under the guidance of Somappa and fights for the public.

After the king's death, Vikraman ascends the throne and hands over administrative controls to Naganathan, who indulges in all kind of looting by levying more taxes. Parthiban comes out of the forest and saves the minister's daughter Amuthavalli, when her chariot goes out of control. They fall in love, and he starts visiting her palace late in the night. Amutha encounters Vikraman, who looks similar to Parthiban, but does not disclose this to anyone. Vikraman likes her and tells Naganathan to fix his marriage with her. Amutha does not accept when Vikraman's mother comes with the proposal.

One night, the soldiers notice Parthiban getting into the palace, and they reach Amutha's room. She makes him escape by making him wear Vikraman's costume. While leaving, he meets his mother, but pretends to be Vikraman. When he is talking to her, Vikraman arrives, and they scuffle. Parthiban escapes, but when he comes again to meet Amutha, he is thrown into prison.

Through the maidservant, the queen learns that Parthiban is also her son. She goes to the prison and orders his release. By then, Vikraman arrives with Naganathan, who confirms they are brothers, but states that the kingdom cannot afford to have two brothers fighting for power. Vikraman does not wish to share the kingdom and to avoid anyone recognising him, orders that Parthiban be masked and imprisoned. Parthiban has an iron mask locked on his face; its key is with Vikraman.

Amutha and Parthiban's friend Ponnan hatch a plan to rescue Parthiban. Amutha makes Vikraman insensibly drunk after a dance and takes the key. Parthiban's associates reach the prison, set him free, put the same on Vikraman's face and dump him in prison. Parthiban assumes charge of the kingdom and introduces citizen friendly policies which are welcomed by the people.

Naganathan suspects foul play. By then, Vikraman sends a message to Naganathan by writing on his dinner plate about Parthiban impersonating him. Naganathan releases Vikraman, brings him to the assembly and stops the coronation of Parthiban as the king. In the fight that ensues between Naganathan's army and Parthiban's people, Naganathan dies. Parthiban and Vikraman fight despite a plea from their mother. When Vikraman loses, he escapes in a chariot wearing his mask. Parthiban tries to stop him, but he rushes away. Vikraman dies when his chariot falls off a cliff. Parthiban and Amutha become the new rulers of Malarpuri."
